Player,npxG,npSh,npxG_per_shot,Efficiency
James Milner,0.4,7.0,0.05714285714285715,0.02285714285714286
Séamus Coleman,0.4,7.0,0.05714285714285715,0.02285714285714286
Marc Cucurella,0.4,7.0,0.05714285714285715,0.02285714285714286
Hakim Ziyech,0.6,16.0,0.0375,0.0225
Remo Freuler,0.4,8.0,0.05,0.020000000000000004
Lucas Digne,0.4,8.0,0.05,0.020000000000000004
Jan Bednarek,0.4,8.0,0.05,0.020000000000000004
David Brooks,0.3,5.0,0.06,0.018
Rob Holding,0.3,5.0,0.06,0.018
James Justin,0.3,5.0,0.06,0.018
Jeremy Sarmiento,0.3,5.0,0.06,0.018
César Azpilicueta,0.4,9.0,0.044444444444444446,0.017777777777777778
Nélson Semedo,0.4,9.0,0.044444444444444446,0.017777777777777778
Ashley Young,0.5,15.0,0.03333333333333333,0.016666666666666666
Thiago Alcántara,0.4,10.0,0.04,0.016
Kalvin Phillips,0.3,6.0,0.049999999999999996,0.014999999999999998
Vladimír Coufal,0.3,6.0,0.049999999999999996,0.014999999999999998
Harry Toffolo,0.3,6.0,0.049999999999999996,0.014999999999999998
Will Hughes,0.3,6.0,0.049999999999999996,0.014999999999999998
Ryan Fraser,0.3,6.0,0.049999999999999996,0.014999999999999998
Aaron Hickey,0.4,11.0,0.03636363636363637,0.014545454545454549
Roméo Lavia,0.4,12.0,0.03333333333333333,0.013333333333333334
Oliver Skipp,0.3,7.0,0.04285714285714286,0.012857142857142857
Lewis O'Brien,0.3,7.0,0.04285714285714286,0.012857142857142857
Kieran Tierney,0.3,7.0,0.04285714285714286,0.012857142857142857
Luka Milivojević,0.3,7.0,0.04285714285714286,0.012857142857142857
Gustavo Scarpa,0.3,7.0,0.04285714285714286,0.012857142857142857
N'Golo Kanté,0.3,8.0,0.0375,0.01125
Mario Lemina,0.3,9.0,0.03333333333333333,0.01
Aaron Cresswell,0.3,9.0,0.03333333333333333,0.01
Jonny Castro,0.3,9.0,0.03333333333333333,0.01
Rico Lewis,0.2,5.0,0.04,0.008
Tyrell Malacia,0.2,5.0,0.04,0.008
Tariq Lamptey,0.2,5.0,0.04,0.008
Jorginho,0.2,6.0,0.03333333333333333,0.006666666666666667
Joe Gomez,0.2,6.0,0.03333333333333333,0.006666666666666667
Jonjo Shelvey,0.2,6.0,0.03333333333333333,0.006666666666666667
Yves Bissouma,0.2,6.0,0.03333333333333333,0.006666666666666667
Lewis Cook,0.2,6.0,0.03333333333333333,0.006666666666666667
Ibrahima Diallo,0.2,6.0,0.03333333333333333,0.006666666666666667
Wilfred Ndidi,0.2,7.0,0.028571428571428574,0.005714285714285715
Matty Cash,0.2,7.0,0.028571428571428574,0.005714285714285715
Saša Lukić,0.1,5.0,0.02,0.002
